Timestamp,Gap
1548303810," 	7.999999999999674e-05"
1548303811," 	7.999999999999674e-05"
1548303812," 	7.999999999999674e-05"
1548303813," 	7.999999999999674e-05"
1548303814," 	7.999999999999674e-05"
1548303815," 	7.999999999999674e-05"
1548303816," 	7.999999999999674e-05"
1548303817," 	7.999999999999674e-05"
1548303818," 	7.999999999999674e-05"
1548303819," 	7.999999999999674e-05"
1548303820," 	7.999999999999674e-05"
1548303821," 	7.999999999999674e-05"
1548303822," 	7.999999999999674e-05"
1548303823," 	7.999999999999674e-05"
1548303824," 	7.999999999999674e-05"
1548303825," 	7.999999999999674e-05"
1548303826," 	7.999999999999674e-05"
1548303827," 	7.999999999999674e-05"
1548303828," 	7.999999999999674e-05"
1548303829," 	7.999999999999674e-05"
1548303830," 	7.999999999999674e-05"
1548303831," 	7.999999999999674e-05"
1548303832," 	7.999999999999674e-05"
1548303833," 	7.999999999999674e-05"
1548303834," 	7.999999999999674e-05"
1548303835," 	7.999999999999674e-05"
1548303836," 	7.999999999999674e-05"
1548303837," 	7.999999999999674e-05"
1548303838," 	7.999999999999674e-05"
1548303839," 	7.999999999999674e-05"
1548303840," 	8.99999999999998e-05"
1548303841," 	8.99999999999998e-05"
1548303842," 	8.99999999999998e-05"
1548303843," 	8.99999999999998e-05"
1548303844," 	8.99999999999998e-05"
1548303845," 	8.99999999999998e-05"
1548303846," 	8.99999999999998e-05"
1548303847," 	8.99999999999998e-05"
1548303848," 	8.99999999999998e-05"
1548303849," 	8.99999999999998e-05"
1548303850," 	8.99999999999998e-05"
1548303851," 	8.99999999999998e-05"
1548303852," 	8.99999999999998e-05"
1548303853," 	8.99999999999998e-05"
1548303854," 	8.99999999999998e-05"
1548303855," 	8.99999999999998e-05"
1548303856," 	8.99999999999998e-05"
1548303857," 	8.99999999999998e-05"
1548303858," 	8.99999999999998e-05"
1548303859," 	8.99999999999998e-05"
1548303860," 	8.99999999999998e-05"
1548303861," 	8.99999999999998e-05"
1548303862," 	8.99999999999998e-05"
1548303863," 	8.99999999999998e-05"
1548303864," 	8.99999999999998e-05"
1548303865," 	8.99999999999998e-05"
1548303866," 	8.99999999999998e-05"
1548303867," 	8.99999999999998e-05"
1548303868," 	8.99999999999998e-05"
1548303869," 	8.99999999999998e-05"
1548303870," 	8.99999999999998e-05"
1548303871," 	8.99999999999998e-05"
1548303872," 	8.99999999999998e-05"
1548303873," 	8.99999999999998e-05"
1548303874," 	8.99999999999998e-05"
1548303875," 	8.99999999999998e-05"
1548303876," 	8.99999999999998e-05"
1548303877," 	8.99999999999998e-05"
1548303878," 	8.99999999999998e-05"
1548303879," 	8.99999999999998e-05"
1548303880," 	8.99999999999998e-05"
1548303881," 	8.99999999999998e-05"
1548303882," 	8.99999999999998e-05"
1548303883," 	8.99999999999998e-05"
1548303884," 	8.99999999999998e-05"
1548303885," 	8.99999999999998e-05"
1548303886," 	8.99999999999998e-05"
1548303887," 	8.99999999999998e-05"
1548303888," 	8.99999999999998e-05"
1548303889," 	8.99999999999998e-05"
1548303890," 	8.99999999999998e-05"
1548303891," 	8.99999999999998e-05"
